species	NCBI.txid	No_AAS_total	No_CDS_total	No_AAS_Busco	No_CDS_Busco	No_AAS_CDS_corresponding
Platysternon_megacephalum	55544	21529	21529	909	909	909
Plectropomus_leopardus	160734	36199	36279	909	909	860
Pleuronectes_platessa	8262	37127	37236	934	934	926
Ploceus_nigricollis	441696	13528	15285	791	791	785
Plodia_interpunctella	58824	26649	26649	964	964	963
Plutella_xylostella	51655	21674	21674	726	726	697
Pluvianellus_socialis	227228	14317	15695	846	846	844
Pocillopora_damicornis	46731	25183	25183	941	941	861
Podarcis_muralis	64176	50554	50591	935	935	906
Podarcis_raffonei	65483	51561	51627	946	946	940
Podiceps_cristatus	345573	11707	11707	710	710	709
Podilymbus_podiceps	9252	14202	15688	856	856	856
Poecilia_formosa	48698	49495	49631	891	891	891
Poecilia_latipinna	48699	47072	47233	909	909	905
Poecilia_mexicana	48701	47406	47558	914	914	908
Poecilia_reticulata	8081	43715	43783	939	939	831
Poeciliopsis_prolifica	188132	41253	41361	887	887	858
Pogona_vitticeps	103695	38712	38792	959	959	946
Pogonomyrmex_barbatus	144034	19128	19128	964	964	887
Pogonophryne_albipinna	1090488	31128	31128	836	836	823
Polioptila_caerulea	66707	13551	15263	818	818	815
Polistes_canadensis	91411	19297	19297	961	961	949
Polistes_dominula	743375	20855	20855	965	965	954
Polistes_exclamans	27506	15639	15639	944	944	944
Polistes_fuscatus	30207	20897	20897	960	960	945
Pollicipes_pollicipes	41117	27080	27080	596	596	567
Polyodon_spathula	7913	60965	61025	505	505	501
Polypedilum_vanderplanki	319348	19128	19128	949	949	949
Polypterus_senegalus	55291	42243	42457	948	948	942
Pomacea_canaliculata	400727	40391	40391	944	944	873
Pomatorhinus_ruficollis	932028	12971	14693	798	798	798
Pomatostomus_ruficeps	9176	13299	14825	804	804	796
Pomphorhynchus_laevis	141832	13055	13055	666	666	646
Pongo_abelii	9601	49720	49875	937	937	824
Pongo_pygmaeus	9600	68930	69154	887	887	885
Pontoporia_blainvillei	48723	4296	4296	209	209	206
Portunus_trituberculatus	210409	38519	38519	953	953	876
Priapulus_caudatus	37621	20692	20692	913	913	816
Prionailurus_bengalensis	37029	51608	51737	942	942	930
Prionailurus_viverrinus	61388	56347	56463	943	943	942
Pristionchus_pacificus	54126	28149	28149	849	849	836
Pristis_pectinata	685728	37177	37265	925	925	868
Probosciger_aterrimus	141839	14014	15658	842	842	842
Procambarus_clarkii	6728	45538	45538	949	949	940
Prochilodus_magdalenae	148989	34724	34724	900	900	883
Promerops_cafer	254652	14105	15664	835	835	834
Propithecus_coquereli	379532	28194	28300	933	933	908
Protobothrops_mucrosquamatus	103944	23351	23450	935	935	882
Protopolystoma_xenopodis	117903	37859	37906	543	543	435
Protopterus_annectens	7888	37069	37239	947	947	866
Prunella_fulvescens	670355	13371	15011	813	813	810
Prunella_himalayana	670356	13898	15589	821	821	821
Psammomys_obesus	48139	38692	38918	914	914	898
Pseudoatta_argentina	621737	9309	13185	877	877	877
Pseudochaenichthys_georgianus	52239	37944	38061	895	895	869
Pseudoliparis_swirei	2059687	39420	39429	916	916	909
Pseudomyrmex_gracilis	219809	23473	23473	959	959	954
Pseudonaja_textilis	8673	31677	31722	949	949	938
Pseudopodoces_humilis	181119	27572	27583	967	967	955
Psilopogon_haemacephalus	2585815	13550	15382	859	859	858
Psophia_crepitans	54359	13863	15289	817	817	817
Psylliodes_chrysocephala	2598218	17475	17476	894	894	891
Pterocles_burchelli	2585816	13870	15378	841	841	841
Pterocles_gutturalis	240206	15872	15891	845	845	749
Pteronotus_parnellii	59476	34115	34285	907	907	903
Pteropus_alecto	9402	39706	39743	952	952	928
Pteropus_giganteus	143291	53198	53505	944	944	928
Pteropus_vampyrus	132908	43630	43832	953	953	942
Pteruthius_melanotis	357074	11974	13427	723	723	722
Ptilonorhynchus_violaceus	28724	13930	15687	826	826	826
Ptilorrhoa_leucosticta	449384	13511	15238	815	815	815
Puma_concolor	9696	23358	23419	932	932	904
Puma_yagouaroundi	1608482	55586	55694	934	934	929
Pundamilia_nyererei	303518	38583	38653	928	928	924
Pungitius_pungitius	134920	43582	43626	934	934	929
Puntigrus_tetrazona	1606681	48681	48806	873	873	848
Pycnonotus_jocosus	182897	13900	15553	820	820	816
Pygocentrus_nattereri	42514	50672	50925	913	913	913
Pygoscelis_adeliae	9238	16927	16934	840	840	784
Pygoscelis_antarcticus	79643	14226	15293	797	797	797
Pygoscelis_papua	30457	14896	16513	811	811	811
Pyrgilauda_ruficollis	221976	32632	32674	940	940	925
Python_bivittatus	176946	32724	32814	957	957	948
Quiscalus_mexicanus	64278	13606	15214	818	818	815
Ramazzottius_varieornatus	947166	23007	23007	860	860	860
Ramphastos_sulfuratus	322582	14059	15325	863	863	861
Rana_temporaria	8407	41969	42090	912	912	890
Rangifer_tarandus	9870	26502	26502	882	882	878
Rattus_norvegicus	10116	56110	56593	894	894	817
Rattus_rattus	10117	35475	35713	878	878	850
Regulus_satrapa	13245	12999	14668	789	789	787
Rhabdornis_inornatus	237438	14377	16122	858	858	852
Rhadina_sibilatrix	2585818	13641	15289	818	818	817
Rhagoletis_pomonella	28610	30758	30758	736	736	665
Rhagoletis_zephyria	28612	33731	33731	680	680	661
Rhagologus_leucostigma	156170	14230	15977	847	847	841
Rhinatrema_bivittatum	194408	49282	49339	936	936	914
Rhincodon_typus	259920	36827	36899	929	929	910
Rhinolophus_ferrumequinum	59479	48673	48806	894	894	875
Rhinopithecus_bieti	61621	49592	49776	927	927	833
Rhinopithecus_roxellana	61622	53702	53850	906	906	900
Rhinopomastus_cyanomelas	113115	14811	16265	909	909	908
Rhinoptilus_africanus	240209	13689	15206	835	835	835
Rhipicephalus_microplus	6941	24211	24211	909	909	861
Rhipicephalus_sanguineus	34632	30609	30609	883	883	836
Rhipidura_dahli	667186	14178	15777	850	850	848
Rhodinocichla_rosea	58203	14122	16009	834	834	834
Rhopalosiphum_maidis	43146	19503	19503	889	889	875
Rhyzopertha_dominica	92692	700	700	14	14	13
Rissa_tridactyla	75485	14776	16143	879	879	879
Rodentolepis_nana	102285	13631	13777	822	822	762
Rostratula_benghalensis	118793	14222	15696	843	843	843
Rotaria_socialis	392032	33679	33717	700	700	699
Rotaria_sordida	392033	61901	62102	205	205	198
Rousettus_aegyptiacus	9407	56391	56463	952	952	943
Rynchops_niger	227184	14332	15911	845	845	843
Sabethes_cyaneus	53552	17957	17957	936	936	934
Saccoglossus_kowalevskii	10224	22111	22111	936	936	878
Sagittarius_serpentarius	56258	12828	14359	749	749	746
Sakesphorus_luctuosus	419690	14142	15814	833	833	827
Salarias_fasciatus	181472	39222	39329	873	873	857
Salmo_salar	8030	97555	97737	422	422	355
Salmo_trutta	8032	87841	87984	396	396	388
Salvelinus_fontinalis	8038	83302	83431	443	443	440
Salvelinus_namaycush	8040	58230	58347	436	436	432
Sander_lucioperca	283035	56557	56899	930	930	928
Sapajus_apella	9515	62192	62340	923	923	914
Sapayoa_aenigma	239371	13868	15342	843	843	843
Sarcophaga_bullata	7385	15763	15763	884	884	882
Sarcophilus_harrisii	9305	45893	46002	946	946	934
Sarcoptes_scabiei	52283	9318	9318	878	878	878
Scaptodrosophila_lebanonensis	7225	19800	19800	943	943	943
Scatophagus_argus	75038	48218	48369	932	932	931
Sceloporus_undulatus	8520	43690	43731	944	944	913
Schistocerca_americana	7009	26125	26125	936	936	934
Schistocerca_cancellata	274614	26362	26362	937	937	932
Schistocerca_gregaria	7010	37988	37988	924	924	923
Schistocerca_nitens	7011	28445	28445	942	942	942
Schistocerca_piceifrons	274613	25717	25717	919	919	907
Schistocerca_serialis	2023354	27654	27654	934	934	925
Schistosoma_bovis	6184	16787	16874	829	829	828
Schistosoma_curassoni	6186	16789	16789	825	825	821
Schistosoma_haematobium	6185	8934	8934	764	764	761
Schistosoma_mansoni	6183	11713	11721	829	829	827
Schistosoma_margrebowiei	48269	16125	16125	828	828	825
Schistosoma_mattheei	31246	14602	14603	817	817	810
Schistosoma_spindale	6189	14516	14516	834	834	828
Sciurus_carolinensis	30640	52005	52153	876	876	834
Scleropages_formosus	113540	47753	47841	879	879	878
Sclerurus_mexicanus	265632	14042	15594	850	850	844
Scomber_japonicus	13676	30506	30707	925	925	918
Scophthalmus_maximus	52904	50910	50995	934	934	934
Scopus_umbretta	33581	12285	13524	753	753	752
Scortum_barcoo	214431	26905	26905	889	889	874
Scyliorhinus_canicula	7830	49345	49579	891	891	856
Scyliorhinus_torazame	75743	27605	27605	901	901	894
Scytalopus_superciliaris	312124	13855	15352	813	813	807
Sebastes_umbrosus	72105	50695	50991	919	919	911
Seison_nebaliae	104778	12269	12269	768	768	765
Semnornis_frantzii	91796	10815	12157	710	710	709
Sepia_pharaonis	158019	53530	53530	769	769	767
Serilophus_lunatus	239386	14124	15625	834	834	826
Serinus_canaria	9135	36092	36106	911	911	900
Seriola_aureovittata	2871759	42699	42853	926	926	921
Seriola_dumerili	41447	32734	32812	929	929	922
Seriola_lalandi	302047	38827	38915	912	912	906
Silurus_asotus	30991	24309	24309	917	917	917
Silurus_meridionalis	175797	44389	44653	917	917	861
Simochromis_diagramma	43689	53676	53980	917	917	916
Siniperca_chuatsi	119488	58502	58704	921	921	916
Sinocyclocheilus_anshuiensis	1608454	68474	68669	268	268	259
Sinocyclocheilus_grahami	75366	67410	67633	463	463	451
Sinocyclocheilus_rhinocerous	307959	68562	68781	323	323	311
Sinosuthora_webbiana	337173	14265	16033	848	848	846
Sipha_flava	143950	21316	21316	908	908	894
Sitodiplosis_mosellana	263140	32394	32394	936	936	927
Sitophilus_oryzae	7048	23498	23498	927	927	919
Sitta_europaea	50251	13557	15260	814	814	812
Smithornis_capensis	363769	13856	15437	829	829	829
Soboliphyme_baturini	241478	13156	13193	788	788	718
Solea_senegalensis	28829	42011	42109	909	909	906
Solenopsis_invicta	13686	25235	25235	954	954	911
Sorex_araneus	42254	39879	40221	900	900	896
Sorex_cinereus	36803	32645	32923	928	928	925
Sparganum_proliferum	64606	22427	23043	758	758	753
Sparus_aurata	8175	52790	53145	918	918	916
Spea_bombifrons	233779	27799	27833	959	959	958
Sphaeramia_orbicularis	375764	42318	42559	892	892	858
Sphaerodactylus_townsendi	933632	38121	38166	945	945	920
Spheniscus_demersus	92683	14240	15881	814	814	814
Spheniscus_magellanicus	37081	15289	16569	861	861	860
Spirometra_erinaceieuropaei	99802	27676	28290	726	726	722
Spizaetus_tyrannus	252798	14362	15926	853	853	853
Spizella_passerina	40210	9110	10272	591	591	589
Spodoptera_exigua	7107	13955	13955	921	921	921
Spodoptera_frugiperda	7108	29539	29539	954	954	948
Spodoptera_littoralis	7109	13294	13297	940	940	936
Spodoptera_litura	69820	22882	22882	954	954	949
Steatornis_caripensis	48435	14562	16035	860	860	859
Stegastes_partitus	144197	31597	31672	911	911	898
Stegodyphus_dumicola	202533	29944	29944	917	917	893
Stegodyphus_mimosarum	407821	27135	27135	922	922	921
Stegostoma_fasciatum	378071	44136	44199	949	949	944
Steinernema_carpocapsae	34508	36556	36561	787	787	787
Stercorarius_parasiticus	54059	13876	15710	834	834	831
Sterrhoptilus_dennistouni	2585820	13251	15328	816	816	815
Stomoxys_calcitrans	35570	22450	22450	966	966	941
Strigops_habroptila	2489341	43613	43644	935	935	926
Strongylocentrotus_purpuratus	7668	38439	38439	769	769	750
Strongyloides_ratti	34506	12445	12445	787	787	787
Strongylus_vulgaris	40348	20915	21079	619	619	581
Struthidea_cinerea	181839	14144	15788	839	839	838
Struthio_camelus	8801	25438	25453	879	879	841
Sturnira_hondurensis	192404	42753	42999	920	920	911
Sturnus_vulgaris	9172	26611	26619	935	935	921
Styela_clava	7725	27445	27445	837	837	807
Stylophora_pistillata	50429	33252	33252	950	950	842
Sula_dactylatra	56068	12967	14518	757	757	755
Suncus_etruscus	109475	26602	26729	853	853	831
Suricata_suricatta	37032	43269	43409	944	944	935
Sus_scrofa	9823	63575	63712	947	947	833
Sylvietta_virens	208069	13783	15515	839	839	838
Symphalangus_syndactylus	9590	67212	67335	845	845	835
Synchiropus_splendidus	270530	44870	44913	910	910	907
Syngnathus_acus	161584	41949	41962	942	942	934
Syngnathus_scovelli	161590	47846	47855	942	942	942
Syrrhaptes_paradoxus	302527	13541	14915	813	813	813
Tachuris_rubrigastra	495162	14339	15801	866	866	866
Tachyglossus_aculeatus	9261	33269	33397	954	954	948
Tachysurus_fulvidraco	1234273	55521	55926	913	913	912
Taeniopygia_guttata	59729	41214	41237	956	956	897
Takifugu_bimaculatus	433685	20140	20140	822	822	818
Takifugu_flavidus	433684	29408	29408	883	883	883
Takifugu_rubripes	31033	46759	46831	880	880	874
Talpa_occidentalis	50954	39507	39745	887	887	858
Tauraco_erythrolophus	121530	16054	16071	842	842	739
Tegillarca_granosa	220873	25076	25076	743	743	617
Teladorsagia_circumcincta	45464	25532	25532	683	683	659
Teleogryllus_occipitalis	470939	13	13	0	0	NA
Teleopsis_dalmanni	139649	34029	34029	656	656	653
Temnothorax_curvispinosus	300111	27275	27275	876	876	866
Temnothorax_longispinosus	300112	13061	13061	909	909	869
Tenebrio_molitor	7067	21418	21418	934	934	934
Terrapene_carolina	158814	34138	34350	878	878	870
Tetranychus_urticae	32264	15684	15684	820	820	817
Tetraodon_nigroviridis	99883	27918	27918	893	893	884
Thalassarche_chlororhynchos	54017	11830	13136	691	691	691
Thalassophryne_amazonica	390379	36356	36431	926	926	879
Thamnophis_elegans	35005	30876	31010	926	926	872
Thamnophis_sirtalis	35019	25180	25243	883	883	603
Thelazia_callipaeda	103827	10886	10912	862	862	847
Thelohanellus_kitauei	669202	15020	15020	401	401	401
Theropithecus_gelada	9565	52434	52610	922	922	919
Thinocorus_orbignyianus	161742	14061	15558	843	843	838
Thrips_palmi	161013	27217	27217	948	948	940
Thryothorus_ludovicianus	74200	13691	15419	829	829	825
Thunnus_albacares	8236	48150	48429	931	931	931
Thunnus_maccoyii	8240	49507	49841	930	930	930
Tichodroma_muraria	237442	11497	12917	725	725	724
Tigriopus_californicus	6832	15577	15577	890	890	888
Timema_podura	61482	16656	16693	809	809	800
Tinamus_guttatus	94827	17873	17892	856	856	805
Todus_mexicanus	135184	10073	11134	644	644	644
Tokudaia_osimensis	73109	13	13	0	0	NA
Toxocara_canis	6265	18596	18596	860	860	860
Toxostoma_redivivum	99882	14163	15934	861	861	853
Toxotes_jaculatrix	941984	38398	38515	930	930	926
Trachemys_scripta	34903	42076	42199	921	921	880
Trachymyrmex_cornetzi	471704	21276	21276	955	955	944
Trachymyrmex_septentrionalis	34720	20394	20394	962	962	953
Trachymyrmex_zeteki	64791	18778	18778	966	966	937
Trachypithecus_francoisi	54180	64364	64531	852	852	826
Trematomus_bernacchii	40690	40874	41199	920	920	885
Tribolium_castaneum	7070	22610	22610	961	961	955
Tribolium_madens	41895	20571	20571	965	965	920
Trichechus_manatus	9778	36406	36491	954	954	943
Trichinella_britovi	45882	20907	20907	772	772	772
Trichinella_nativa	6335	16586	16586	784	784	784
Trichinella_nelsoni	6336	17008	17008	785	785	785
Trichinella_papuae	268474	16247	16247	724	724	724
Trichinella_patagoniensis	990121	19538	19538	757	757	757
Trichinella_pseudospiralis	6337	16961	16961	720	720	720
Trichinella_spiralis	6334	16380	16380	740	740	738
Trichinella_zimbabwensis	268475	19269	19269	737	737	736
Trichobilharzia_regenti	157069	20958	20958	807	807	794
Trichobilharzia_szidati	157070	20268	20268	648	648	645
Trichogramma_brassicae	86971	16905	16905	638	638	631
Trichogramma_pretiosum	7493	21161	21161	907	907	906
Tricholaema_leucomelas	240729	14343	15652	870	870	870
Trichonephila_clavata	2740835	70432	70432	858	858	849
Trichonephila_clavipes	2585209	22738	22738	610	610	610
Trichonephila_inaurata	2747482	51814	51814	856	856	853
Trichoplax_adhaerens	10228	11520	11520	910	910	910
Trichoplusia_ni	7111	23658	23658	892	892	883
Trichosurus_vulpecula	9337	35542	35644	835	835	819
Trichuris_suis	68888	9829	9829	786	786	786
Trichuris_trichiura	36087	9650	9650	791	791	696
Trinorchestia_longiramus	1923959	26080	26080	903	903	900
Triplophysa_rosa	992332	25821	26023	911	911	910
Triplophysa_tibetana	1572043	24310	24310	898	898	898
Trogon_melanurus	56311	14150	15508	836	836	836
Tropilaelaps_mercedesae	418985	14342	14342	892	892	892
Tupaia_chinensis	246437	38492	38683	921	921	737
Turdus_rufiventris	311356	18334	18334	862	862	860
Turnix_velox	2529409	13135	14264	803	803	803
Tursiops_truncatus	9739	55739	55802	900	900	898
Tuta_absoluta	702717	17885	17885	862	862	862
Tympanuchus_pallidicinctus	109042	41567	41586	905	905	897
Tyrannus_savana	137541	13574	15454	810	810	810
Tyto_alba	56313	32967	32983	921	921	857
Uloborus_diversus	327109	18993	18993	823	823	794
Upupa_epops	57439	13744	15122	848	848	846
Uria_aalge	13746	14166	15596	857	857	857
Urocitellus_parryii	9999	36308	36389	946	946	679
Urocolius_indicus	458196	14081	15344	840	840	838
Urocynchramus_pylzowi	571890	13710	15394	817	817	815
Ursus_americanus	9643	45856	46017	954	954	953
Ursus_arctos	9644	51919	52138	953	953	951
Ursus_maritimus	29073	41487	41611	952	952	938
Vanessa_atalanta	42275	19685	19685	971	971	970
Vanessa_cardui	171605	19836	19836	971	971	970
Vanessa_tameamea	334116	18760	18760	968	968	963
Varanus_komodoensis	61221	18293	18293	797	797	797
Varroa_destructor	109461	30221	30221	927	927	927
Varroa_jacobsoni	62625	26214	26214	933	933	931
Venturia_canescens	32260	23831	23831	952	952	952
Vespa_crabro	7445	26263	26263	962	962	961
Vespa_mandarinia	7446	27198	27198	961	961	961
Vespa_velutina	202808	28781	28781	960	960	953
Vespula_pensylvanica	30213	18491	18491	949	949	949
Vespula_vulgaris	7454	15512	15512	916	916	915
Vicugna_pacos	30538	44159	44289	951	951	918
Vidua_chalybeata	81927	37887	37915	957	957	947
Vidua_macroura	187451	35662	35701	943	943	925
Vireo_altiloquus	34956	14114	16110	834	834	831
Vollenhovia_emeryi	411798	26071	26071	961	961	961
Vombatus_ursinus	29139	42624	42735	876	876	865
Vulpes_lagopus	494514	52703	52785	870	870	869
Vulpes_vulpes	9627	37915	38026	929	929	913
Wasmannia_auropunctata	64793	24085	24085	966	966	961
Xenopus_laevis	8355	56667	56769	461	461	365
Xenopus_tropicalis	8364	39662	39721	949	949	792
Xiphias_gladius	8245	44415	44597	932	932	928
Xiphophorus_couchianus	32473	47076	47192	936	936	935
Xiphophorus_hellerii	8084	46248	46429	920	920	914
Xiphophorus_maculatus	8083	43564	43711	937	937	934
Xiphorhynchus_elegans	269412	13534	15124	783	783	783
Xyrauchen_texanus	154827	66282	66455	415	415	412
Zalophus_californianus	9704	61024	61096	845	845	830
Zapornia_atra	2585822	13339	14708	790	790	788
Zaprionus_bogoriensis	309927	11883	11883	898	898	885
Zerene_cesonia	33412	17465	17465	925	925	921
Zeugodacus_cucurbitae	28588	27226	27226	965	965	964
Zonotrichia_albicollis	44394	26242	26250	871	871	589
Zootermopsis_nevadensis	136037	30187	30187	954	954	929
Zootoca_vivipara	8524	44296	44363	943	943	933
Zophobas_morio	2755281	30408	30408	846	846	846
Zosterops_borbonicus	364589	22558	22558	937	937	923
Zosterops_hypoxanthus	2485327	13718	15801	828	828	827
